"node","group","degree","betweenness","closeness","eigenvector"
1,"most_changed",85,0.0602860342679578,0.453061224489796,0.787601222093721
2,"most_changed",77,0.0497161457022188,0.462714219546086,0.858584961030821
3,"most_changed",103,0.0851538132909437,0.478448275862069,1
4,"most_changed",50,0.0266876154658096,0.429123711340206,0.517197253496796
5,"most_changed",64,0.0379260217392206,0.449392712550607,0.706640342841623
996,"least_changed",5,0.00020462317999688,0.344958563535912,0.0829091187135361
997,"least_changed",5,0.000350819715580692,0.309383710126974,0.0330699817241399
998,"least_changed",5,0.000168129523875104,0.299012271774918,0.02403152535072
999,"least_changed",5,0.000158297619391094,0.296527159394479,0.0201565762021488
1000,"least_changed",5,0.000358430282139437,0.327971109652003,0.0576731029429868
