"node","group","degree","betweenness","closeness","eigenvector"
524,"most_changed",7,0.000536687089817143,0.30995966490847,0.027402108310881
629,"most_changed",8,0.000585885746246859,0.305038167938931,0.0233098377311019
621,"most_changed",5,0.000299135482723913,0.323824959481361,0.0483543369227313
650,"most_changed",5,0.00025793935111133,0.301266586248492,0.0207844542898469
716,"most_changed",5,0.000400502836168641,0.333890374331551,0.0561800808783376
264,"least_changed",10,0.00117513570812896,0.345674740484429,0.115598199691371
5,"least_changed",64,0.0379260217392206,0.449392712550607,0.706640342841623
97,"least_changed",10,0.00145762735344745,0.359870317002882,0.152443136009884
356,"least_changed",11,0.00133739504110001,0.335798319327731,0.0733710176205015
1,"least_changed",85,0.0602860342679578,0.453061224489796,0.78760122209372
