"node","group","degree","betweenness","closeness","eigenvector"
716,"most_changed",5,0.000400502836168641,0.333890374331551,0.0561800808783377
621,"most_changed",5,0.000299135482723913,0.323824959481361,0.0483543369227314
825,"most_changed",5,0.000263131951488894,0.314744801512287,0.0343073084534894
734,"most_changed",5,0.000257422058205343,0.294342958161461,0.0174842037469169
915,"most_changed",5,0.000419153531371836,0.299550224887556,0.0218686635039348
264,"least_changed",10,0.00117513570812896,0.345674740484429,0.115598199691371
356,"least_changed",11,0.00133739504110001,0.335798319327731,0.0733710176205015
5,"least_changed",64,0.0379260217392206,0.449392712550607,0.706640342841622
97,"least_changed",10,0.00145762735344745,0.359870317002882,0.152443136009884
1,"least_changed",85,0.0602860342679578,0.453061224489796,0.78760122209372
