"node","group","degree","betweenness","closeness","eigenvector"
55,"most_changed",18,0.00402830149132263,0.368634686346863,0.150155095938893
960,"most_changed",5,0.000225147869786714,0.325513196480938,0.0504732924874992
447,"most_changed",5,0.000170062837944493,0.315739570164349,0.035672882343431
394,"most_changed",5,0.000248912487429198,0.349667483374169,0.114625860039776
185,"most_changed",12,0.00220988280939062,0.351884466361395,0.095556096835612
992,"least_changed",5,0.000207370494667454,0.300451127819549,0.0233011155806481
993,"least_changed",5,0.000113861964072991,0.305598042214745,0.0292472337316846
994,"least_changed",5,0.000248037838510009,0.328943035890682,0.0539409058187361
995,"least_changed",5,0.000244535799080115,0.298208955223881,0.0217549468064011
1000,"least_changed",5,0.000358430282139437,0.327971109652003,0.0576731029429868
