"node","group","degree","betweenness","closeness","eigenvector"
123,"most_changed",11,0.00101935018869242,0.331123632747763,0.0647294569366909
588,"most_changed",7,0.000429238631562643,0.33433734939759,0.0738882381411832
698,"most_changed",5,0.000252376212596396,0.339680380822849,0.0793720233161215
758,"most_changed",7,0.000567369433951931,0.336703741152679,0.0728413708930912
766,"most_changed",5,0.000280069816072789,0.340490797546012,0.0776889752336635
983,"least_changed",5,0.000140389106543509,0.342123287671233,0.0797918261676655
986,"least_changed",5,0.000239037678716341,0.33784240784579,0.0765665264039754
988,"least_changed",5,0.000188738388588614,0.33784240784579,0.0716756793249997
993,"least_changed",5,0.000113861964072991,0.305598042214745,0.0292472337316846
1000,"least_changed",5,0.000358430282139437,0.327971109652003,0.0576731029429868
