"node","group","degree","betweenness","closeness","eigenvector"
814,"most_changed",7,0.00129467144771118,0.333890374331551,0.0567085522851019
383,"most_changed",5,0.000218906174625459,0.316941624365482,0.0377837990064859
629,"most_changed",8,0.000585885746246859,0.305038167938931,0.0233098377311019
878,"most_changed",5,0.000247489771777847,0.298565451285117,0.0197321324935534
716,"most_changed",5,0.000400502836168641,0.333890374331551,0.0561800808783377
3,"least_changed",103,0.0851538132909437,0.478448275862069,1
5,"least_changed",64,0.0379260217392206,0.449392712550607,0.706640342841622
356,"least_changed",11,0.00133739504110001,0.335798319327731,0.0733710176205015
97,"least_changed",10,0.00145762735344745,0.359870317002882,0.152443136009884
1,"least_changed",85,0.0602860342679578,0.453061224489796,0.78760122209372
