"node","group","degree","betweenness","closeness","eigenvector"
144,"most_changed",9,0.00173900916873016,0.301903898458749,0.337710839227075
419,"most_changed",7,0.00103386210270755,0.297587131367292,0.303859493274765
171,"most_changed",13,0.00323351574222491,0.320192307692308,0.529252705685934
920,"most_changed",12,0.00309013093695301,0.314052184847532,0.458821468559755
50,"most_changed",5,0.000478020176467945,0.282362916902205,0.199645890046921
845,"least_changed",7,0.000887415276250755,0.289481309765285,0.258125769228302
496,"least_changed",11,0.00271893037757632,0.309383710126974,0.438646137335157
891,"least_changed",6,0.000520697954602524,0.279050279329609,0.194203463376645
482,"least_changed",16,0.00501888120092977,0.323091849935317,0.616355965591262
889,"least_changed",10,0.00198808423651519,0.306347746090156,0.417104640484953
