"node","group","degree","betweenness","closeness","eigenvector"
925,"most_changed",8,0.00126485723813629,0.305038167938931,0.390257325333831
130,"most_changed",4,0.00015302240114484,0.279284316466313,0.198413260966601
323,"most_changed",6,0.000760221188431081,0.282522624434389,0.196355171804044
5,"most_changed",9,0.00177697514095993,0.302727272727273,0.357065338210991
118,"most_changed",12,0.00357365307345612,0.312871907297213,0.439008020889553
28,"least_changed",7,0.000858656211888915,0.300360793746242,0.351656123687561
307,"least_changed",4,0.000303549142565286,0.279206260480716,0.173166058625218
374,"least_changed",16,0.00553461690642395,0.331123632747763,0.723685233892447
456,"least_changed",15,0.00427908777676342,0.325938009787928,0.647748849884024
735,"least_changed",14,0.00421864377138016,0.326790971540726,0.648875521160755
