"node","group","degree","betweenness","closeness","eigenvector"
120,"most_changed",8,0.00153214197807948,0.303739738522347,0.353615232757342
277,"most_changed",13,0.00380487966707456,0.327433628318584,0.597338741860234
499,"most_changed",10,0.00236388554056801,0.308048103607771,0.401391362695761
537,"most_changed",5,0.000451379415345997,0.282842582106455,0.205568766869127
592,"most_changed",10,0.00179745975845053,0.30823819808701,0.42156466443033
385,"least_changed",2,7.11865075362507e-05,0.252847380410023,0.0709447024977066
444,"least_changed",3,0.000256307071246991,0.26303317535545,0.101440547568694
593,"least_changed",2,4.15816576793502e-05,0.248383888612631,0.0588983072871978
705,"least_changed",3,0.000200171617543423,0.267112299465241,0.117247715721703
906,"least_changed",1,0,0.24095513748191,0.0455529018298655
