"node","group","degree","betweenness","closeness","eigenvector"
749,"most_changed",5,0.000548828818508242,0.288978883424935,0.228409123358922
65,"most_changed",8,0.00135276974195012,0.297853309481216,0.306375896983637
123,"most_changed",13,0.00349596991662986,0.326044386422977,0.585688443606056
82,"most_changed",9,0.00165805568839727,0.30823819808701,0.39278606949285
816,"most_changed",14,0.00423081171741647,0.324561403508772,0.57250459172118
891,"least_changed",6,0.000520697954602524,0.279050279329609,0.194203463376644
404,"least_changed",11,0.00255342366624264,0.305878750765462,0.398407311362217
215,"least_changed",11,0.00251005779890132,0.314249764076754,0.506306379222692
889,"least_changed",10,0.00198808423651519,0.306347746090156,0.417104640484953
482,"least_changed",16,0.00501888120092977,0.323091849935317,0.616355965591262
