"node","group","degree","betweenness","closeness","eigenvector"
720,"most_changed",5,0.000440532100030084,0.283565143343741,0.209132251189061
646,"most_changed",10,0.00204657303246402,0.311506080449018,0.434218503421368
18,"most_changed",9,0.00181551230029434,0.30852378011118,0.388129245382589
168,"most_changed",10,0.00242638408731987,0.314943253467844,0.498120647969177
709,"most_changed",10,0.00251727358218902,0.311797752808989,0.399244405471413
931,"least_changed",15,0.00463683898454385,0.329159802306425,0.681777925262859
934,"least_changed",14,0.00375981357761012,0.31866028708134,0.556616374973921
953,"least_changed",7,0.00105489256834533,0.296527159394479,0.279887664891926
959,"least_changed",15,0.00474676183767576,0.330904272938059,0.705702801817669
987,"least_changed",7,0.00106283459953903,0.291849255039439,0.259145095875308
