"node","group","degree","betweenness","closeness","eigenvector"
669,"most_changed",6,0.000830615064586322,0.289733178654292,0.232906510427834
925,"most_changed",8,0.00126485723813629,0.305038167938931,0.390257325333831
994,"most_changed",7,0.0010305247767932,0.302635564980309,0.339111630732098
263,"most_changed",3,0.000179465125128972,0.269054672771344,0.118282871125199
711,"most_changed",13,0.00363141969009264,0.323720025923526,0.539084790298702
404,"least_changed",11,0.00255342366624264,0.305878750765462,0.398407311362216
603,"least_changed",9,0.0016200839844981,0.302910855063675,0.360076038941934
891,"least_changed",6,0.000520697954602524,0.279050279329609,0.194203463376644
192,"least_changed",8,0.0011523347750302,0.294951284322409,0.319795919406653
889,"least_changed",10,0.00198808423651519,0.306347746090156,0.417104640484953
