"node","group","degree","betweenness","closeness","eigenvector"
16,"most_changed",4,0.000692942989109514,0.255042124074547,0.00837843484004055
18,"most_changed",4,1.08001202312119e-05,0.246301775147929,0.0131639999193515
74,"most_changed",4,0,0.230449826989619,0.0109987391639002
98,"most_changed",4,0.000458130354741957,0.246241064826226,0.0152985673697655
114,"most_changed",4,1.69036182239059e-06,0.229233593391464,0.00415447587182788
996,"least_changed",45,0.0266866974243603,0.313264346190028,0.0917185258036507
997,"least_changed",47,0.0302856675900319,0.330575777630708,0.469343809091824
998,"least_changed",48,0.0227291692124891,0.320294966335364,0.128024011637745
999,"least_changed",48,0.0327209015916224,0.324455992205261,0.134537899914209
1000,"least_changed",48,0.0262059597237503,0.319884726224784,0.418185159905053
