"node","group","degree","betweenness","closeness","eigenvector"
1,"most_changed",4,0.000667015312840139,0.253746507493015,0.0137574658381871
2,"most_changed",4,0.00156946114284032,0.246180384425826,0.0127262966135262
3,"most_changed",4,0.000140327669387464,0.247338450111414,0.00700819494603496
4,"most_changed",4,8.14925568647572e-06,0.226581991381266,0.00183448134173701
5,"most_changed",4,0.00171572699142718,0.233084461035931,0.00226642956054198
996,"least_changed",45,0.0266866974243603,0.313264346190028,0.0917185258036486
997,"least_changed",47,0.0302856675900319,0.330575777630708,0.469343809091822
998,"least_changed",48,0.0227291692124891,0.320294966335364,0.12802401163774
999,"least_changed",48,0.0327209015916224,0.324455992205261,0.134537899914204
1000,"least_changed",48,0.0262059597237503,0.319884726224784,0.41818515990505
