"node","group","degree","betweenness","closeness","eigenvector"
10,"most_changed",4,0.00071973793402436,0.231947991641514,0.00239344506017435
72,"most_changed",4,0.000786702811846449,0.281487743026205,0.030278426726181
76,"most_changed",4,2.03864702176447e-05,0.204044117647059,0.00136114649238438
95,"most_changed",4,0,0.257341576506955,0.0200833642242924
153,"most_changed",4,0.000186146413020306,0.264495631453535,0.0610845310462284
996,"least_changed",45,0.0266866974243603,0.313264346190028,0.091718525803652
997,"least_changed",47,0.0302856675900319,0.330575777630708,0.469343809091836
998,"least_changed",48,0.0227291692124891,0.320294966335364,0.12802401163775
999,"least_changed",48,0.0327209015916224,0.324455992205261,0.134537899914215
1000,"least_changed",48,0.0262059597237503,0.319884726224784,0.418185159905065
