"node","group","degree","betweenness","closeness","eigenvector"
234,"most_changed",5,1.83395077429426e-05,0.256548536209553,0.0238004890819717
25,"most_changed",4,0.000566733490970073,0.242652416808356,0.00364218780850742
52,"most_changed",4,0.000117613709077916,0.260088518614944,0.0227238667880318
253,"most_changed",5,3.71003934273712e-06,0.266826923076923,0.0998141221368494
547,"most_changed",7,0.00284390360937562,0.238424821002387,0.00673098639890568
676,"least_changed",9,0.00133516931040148,0.240722891566265,0.00704885924930042
784,"least_changed",12,0.00511749302880185,0.280775716694772,0.155892318512611
879,"least_changed",19,0.00475983414950787,0.29304781460839,0.0428452754196005
926,"least_changed",24,0.00660511428088737,0.304202192448234,0.27511629343964
927,"least_changed",24,0.00545029840181399,0.301630434782609,0.0985545913146757
