"node","group","degree","betweenness","closeness","eigenvector"
98,"most_changed",4,0.000458130354741957,0.246241064826226,0.0152985673697656
190,"most_changed",4,0.00294448780889378,0.269490153763151,0.0154836006996369
33,"most_changed",4,0,0.259953161592506,0.218812065807081
44,"most_changed",4,0.00124170079142851,0.255433392994119,0.0363666087194606
88,"most_changed",4,0,0.263449367088608,0.0306117790755096
996,"least_changed",45,0.0266866974243603,0.313264346190028,0.0917185258036509
997,"least_changed",47,0.0302856675900319,0.330575777630708,0.469343809091825
998,"least_changed",48,0.0227291692124891,0.320294966335364,0.128024011637744
999,"least_changed",48,0.0327209015916224,0.324455992205261,0.134537899914209
1000,"least_changed",48,0.0262059597237503,0.319884726224784,0.418185159905054
