"node","group","degree","betweenness","closeness","eigenvector"
207,"most_changed",4,3.44073293306316e-05,0.25927848429795,0.022775510982947
222,"most_changed",4,0.000293819129810073,0.258540372670807,0.0127769138387314
10,"most_changed",4,0.00071973793402436,0.231947991641514,0.00239344506017445
72,"most_changed",4,0.000786702811846449,0.281487743026205,0.0302784267261806
76,"most_changed",4,2.03864702176447e-05,0.204044117647059,0.00136114649238441
994,"least_changed",45,0.0266394200130121,0.315042573320719,0.148850053421631
996,"least_changed",45,0.0266866974243603,0.313264346190028,0.0917185258036525
998,"least_changed",48,0.0227291692124891,0.320294966335364,0.128024011637748
999,"least_changed",48,0.0327209015916224,0.324455992205261,0.134537899914212
1000,"least_changed",48,0.0262059597237503,0.319884726224784,0.418185159905066
