"node","group","degree","betweenness","closeness","eigenvector"
234,"most_changed",5,1.83395077429426e-05,0.256548536209553,0.0238004890819726
25,"most_changed",4,0.000566733490970073,0.242652416808356,0.00364218780850762
52,"most_changed",4,0.000117613709077916,0.260088518614944,0.0227238667880327
253,"most_changed",5,3.71003934273712e-06,0.266826923076923,0.0998141221368533
547,"most_changed",7,0.00284390360937562,0.238424821002387,0.00673098639890621
926,"least_changed",24,0.00660511428088737,0.304202192448234,0.275116293439653
941,"least_changed",27,0.0144773457784664,0.285836909871245,0.025060364624805
970,"least_changed",36,0.0107747525019172,0.2997299729973,0.0700702956852591
986,"least_changed",43,0.0352025553450744,0.323929961089494,0.12870937561374
993,"least_changed",44,0.0244523041148442,0.308428527323248,0.0906447449303742
