source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,10
0,13
0,18
0,21
0,25
0,41
0,43
0,49
0,53
0,54
0,62
0,67
0,68
0,74
0,94
0,95
0,103
0,120
0,137
0,155
0,165
0,170
0,180
0,187
0,200
0,213
0,229
0,384
0,457
0,470
0,482
1,5
1,8
1,12
1,31
1,32
1,43
1,47
1,51
1,69
1,70
1,94
1,123
1,129
1,174
1,213
1,255
1,279
1,305
1,391
1,413
1,455
2,4
2,6
2,355
3,4
3,13
3,14
3,18
3,19
3,27
3,29
3,34
3,36
3,44
3,46
3,50
3,65
3,75
3,78
3,81
3,86
3,96
3,112
3,119
3,138
3,159
3,234
3,241
3,264
3,274
3,294
3,318
3,348
3,364
3,369
3,397
3,411
3,422
3,424
3,426
3,432
3,456
3,485
4,5
4,9
4,10
4,11
4,12
4,16
4,20
4,21
4,25
4,29
4,30
4,34
4,37
4,38
4,52
4,55
4,56
4,58
4,62
4,67
4,69
4,72
4,74
4,78
4,84
4,85
4,93
4,111
4,113
4,122
4,125
4,128
4,130
4,133
4,135
4,192
4,194
4,197
4,216
4,221
4,222
4,224
4,253
4,258
4,270
4,289
4,300
4,303
4,317
4,341
4,342
4,350
4,358
4,371
4,393
4,414
4,430
4,454
4,456
4,492
5,6
5,7
5,8
5,9
5,11
5,15
5,16
5,17
5,18
5,20
5,23
5,24
5,31
5,33
5,38
5,44
5,56
5,71
5,72
5,79
5,80
5,83
5,85
5,86
5,91
5,104
5,105
5,144
5,145
5,151
5,159
5,186
5,190
5,191
5,210
5,246
5,250
5,259
5,264
5,267
5,268
5,281
5,296
5,310
5,331
5,343
5,364
5,373
5,377
5,410
5,437
5,442
5,452
5,467
6,7
6,8
6,11
6,12
6,13
6,24
6,26
6,28
6,39
6,40
6,43
6,45
6,46
6,51
6,57
6,64
6,66
6,76
6,77
6,83
6,91
6,93
6,99
6,107
6,114
6,118
6,119
6,134
6,139
6,143
6,169
6,178
6,188
6,191
6,192
6,199
6,200
6,249
6,263
6,281
6,290
6,305
6,314
6,315
6,317
6,324
6,334
6,344
6,346
6,362
6,367
6,383
6,387
6,402
6,407
6,418
6,424
6,434
6,446
6,460
6,461
6,489
6,491
7,9
7,10
7,14
7,15
7,19
7,20
7,21
7,25
7,30
7,33
7,41
7,44
7,49
7,56
7,58
7,64
7,74
7,82
7,86
7,87
7,110
7,111
7,123
7,126
7,132
7,150
7,161
7,162
7,179
7,195
7,201
7,225
7,227
7,231
7,232
7,261
7,267
7,291
7,318
7,324
7,339
7,340
7,345
7,350
7,356
7,365
7,393
7,401
7,407
7,419
7,426
7,431
7,441
7,445
7,446
7,452
7,489
8,14
8,22
8,35
8,39
8,58
8,61
8,71
8,80
8,83
8,88
8,133
8,156
8,195
8,204
8,233
8,251
8,272
8,304
8,308
8,320
8,343
8,368
8,382
8,410
8,470
8,485
8,495
9,26
9,42
9,57
9,105
9,138
9,151
9,163
9,212
9,229
9,231
9,233
9,235
9,238
9,297
9,299
9,370
9,389
9,390
9,395
9,436
10,17
10,19
10,23
10,24
10,40
10,48
10,53
10,60
10,63
10,66
10,95
10,98
10,109
10,112
10,114
10,129
10,163
10,169
10,172
10,192
10,237
10,246
10,255
10,284
10,302
10,320
10,345
10,351
10,356
10,403
10,452
11,90
11,100
11,104
11,127
11,174
11,240
11,342
11,471
12,15
12,22
12,29
12,46
12,47
12,50
12,51
12,55
12,68
12,97
12,98
12,99
12,101
12,128
12,136
12,143
12,148
12,150
12,154
12,174
12,203
12,206
12,218
12,259
12,262
12,266
12,267
12,277
12,292
12,326
12,344
12,425
12,451
12,464
12,493
12,494
13,35
13,59
13,79
13,97
13,122
13,168
13,232
13,256
13,286
13,437
13,459
14,16
14,17
14,27
14,30
14,32
14,48
14,59
14,87
14,103
14,115
14,149
14,157
14,219
14,223
14,247
14,268
14,331
14,497
15,89
15,113
15,114
15,134
15,177
15,183
16,22
16,28
16,48
16,53
16,61
16,66
16,102
16,106
16,116
16,121
16,126
16,135
16,163
16,232
16,339
16,352
17,409
17,449
18,88
18,91
18,127
18,188
18,209
18,292
18,405
18,432
19,33
19,52
19,76
19,90
19,167
19,207
19,404
20,23
20,73
20,121
20,140
20,145
20,230
20,298
20,418
20,456
20,471
21,69
21,164
21,190
21,293
21,435
22,27
22,31
22,34
22,45
22,68
22,71
22,92
22,93
22,122
22,148
22,161
22,167
22,178
22,230
22,284
22,323
22,333
22,335
22,359
22,361
22,392
22,393
22,398
23,57
23,76
23,137
23,149
23,221
23,311
23,312
24,39
24,137
24,208
25,26
25,36
25,45
25,47
25,60
25,65
25,82
25,84
25,104
25,115
25,121
25,224
25,263
25,289
25,321
25,354
25,379
25,415
26,28
26,36
26,73
26,88
26,136
26,147
26,175
26,248
26,301
26,341
26,351
26,380
26,408
26,463
27,37
27,38
27,80
27,189
27,288
27,295
27,388
27,420
27,491
28,242
28,317
28,495
29,42
29,63
29,70
29,101
29,117
29,123
29,141
29,147
29,414
30,32
30,54
30,131
30,143
30,205
30,206
30,228
30,257
30,265
30,307
30,315
30,316
30,423
30,486
31,67
31,84
31,100
31,184
31,222
31,223
31,234
31,271
31,480
32,258
32,378
32,465
33,55
33,145
33,153
33,207
33,234
33,297
33,306
33,339
33,385
33,434
33,435
34,35
34,37
34,40
34,52
34,63
34,64
34,102
34,136
34,139
34,141
34,152
34,186
34,193
34,195
34,214
34,219
34,253
34,273
34,274
34,320
34,325
34,353
34,387
34,395
34,497
35,156
35,363
36,42
36,313
36,328
37,78
37,108
37,125
37,131
37,244
37,321
37,449
38,124
38,139
38,460
39,41
39,79
39,239
40,152
41,49
41,65
41,155
41,199
41,223
41,300
41,389
41,396
41,410
42,81
42,110
42,175
42,342
42,411
42,477
43,59
43,109
43,156
43,239
43,282
43,487
44,54
44,110
44,116
44,467
45,50
45,89
45,126
45,127
45,140
45,165
45,176
45,177
45,189
45,290
45,299
45,336
45,380
45,400
45,483
46,72
46,92
46,142
46,152
46,177
46,220
46,318
46,338
46,401
47,108
47,130
47,162
47,377
47,384
47,439
47,471
47,473
48,87
48,149
48,196
48,372
48,484
49,60
49,73
49,389
49,451
50,157
50,158
50,226
50,369
50,390
50,417
50,423
50,440
51,75
51,96
51,116
51,120
51,128
51,226
51,277
51,330
51,413
53,97
53,132
53,303
53,329
54,61
54,118
54,227
54,303
54,386
54,453
54,488
55,138
55,242
55,266
56,70
56,99
56,107
56,108
56,111
56,112
56,166
56,205
56,221
56,243
56,299
56,316
56,362
56,364
56,376
56,382
56,398
56,402
56,423
56,428
56,461
56,492
57,386
58,82
58,239
58,274
58,386
58,430
58,435
58,473
59,129
59,146
59,161
59,248
59,331
60,184
60,197
60,277
60,333
60,468
61,62
61,124
61,165
61,179
61,458
62,115
62,153
62,158
62,420
64,75
64,315
64,390
64,416
64,425
65,298
65,447
66,363
66,485
67,94
67,481
68,167
68,282
68,486
69,77
69,95
69,164
69,280
69,443
69,444
70,109
70,187
