node_id,community
0,0
1,1
2,2
3,256
4,323
5,164
6,2
7,259
8,256
9,9
10,137
11,130
12,323
13,323
14,137
15,33
16,0
17,67
18,258
19,164
20,302
21,256
22,136
23,67
24,133
25,132
26,403
27,1
28,1
29,302
30,137
31,130
32,258
33,33
34,136
35,128
36,256
37,255
38,137
39,128
40,256
41,323
42,452
43,1
44,287
45,256
46,130
47,263
48,9
49,263
50,287
51,130
52,73
53,259
54,128
55,259
56,137
57,9
58,9
59,137
60,259
61,128
62,259
63,9
64,64
65,128
66,137
67,67
68,263
69,136
70,133
71,71
72,9
73,73
74,384
75,1
76,263
77,392
78,130
79,255
80,130
81,452
82,137
83,130
84,129
85,302
86,465
87,259
88,137
89,259
90,9
91,0
92,9
93,9
94,2
95,224
96,255
97,259
98,128
99,263
100,263
101,403
102,130
103,256
104,137
105,9
106,137
107,107
108,287
109,255
110,137
111,259
112,392
113,130
114,323
115,259
116,465
117,133
118,384
119,256
120,392
121,130
122,392
123,259
124,263
125,263
126,9
127,259
128,128
129,129
130,130
131,256
132,132
133,133
134,259
135,136
136,136
137,137
138,136
139,132
140,136
141,137
142,129
143,9
144,73
145,132
146,132
147,137
148,133
149,259
150,258
151,130
152,137
153,259
154,137
155,129
156,71
157,107
158,73
159,137
160,2
161,2
162,137
163,384
164,164
165,130
166,130
167,130
168,128
169,128
170,130
171,128
172,136
173,132
174,392
175,255
176,9
177,392
178,71
179,71
180,403
181,133
182,1
183,67
184,9
185,9
186,259
187,287
188,136
189,259
190,9
191,73
192,263
193,137
194,259
195,259
196,133
197,130
198,9
199,9
200,259
201,137
202,136
203,9
204,452
205,9
206,137
207,137
208,392
209,128
210,255
211,465
212,2
213,107
214,452
215,9
216,259
217,128
218,255
219,107
220,136
221,133
222,255
223,33
224,224
225,255
226,403
227,263
228,256
229,256
230,256
231,263
232,130
233,392
234,164
235,259
236,392
237,392
238,9
239,137
240,255
241,255
242,33
243,133
244,136
245,392
246,384
247,136
248,392
249,130
250,128
251,130
252,136
253,9
254,255
255,255
256,256
257,64
258,258
259,259
260,1
261,256
262,224
263,263
264,71
265,133
266,130
267,130
268,137
269,128
270,33
271,9
272,136
273,256
274,136
275,136
276,452
277,71
278,258
279,256
280,136
281,1
282,130
283,130
284,452
285,130
286,256
287,287
288,67
289,256
290,392
291,136
292,136
293,323
294,263
295,137
296,137
297,136
298,137
299,0
300,136
301,263
302,302
303,71
304,1
305,132
306,9
307,1
308,263
309,129
310,302
311,67
312,392
313,136
314,129
315,137
316,136
317,136
318,263
319,137
320,130
321,384
322,9
323,323
324,392
325,1
326,130
327,263
328,130
329,9
330,137
331,136
332,9
333,255
334,9
335,9
336,263
337,392
338,263
339,132
340,9
341,137
342,259
343,452
344,259
345,137
346,0
347,9
348,255
349,107
350,255
351,2
352,256
353,130
354,9
355,452
356,256
357,2
358,9
359,263
360,392
361,137
362,255
363,64
364,287
365,136
366,9
367,71
368,403
369,256
370,287
371,392
372,392
373,392
374,164
375,136
376,136
377,136
378,263
379,465
380,9
381,263
382,129
383,255
384,384
385,384
386,224
387,130
388,1
389,132
390,64
391,452
392,392
393,452
394,137
395,224
396,137
397,255
398,323
399,130
400,130
401,132
402,258
403,403
404,71
405,302
406,136
407,392
408,255
409,0
410,323
411,130
412,452
413,132
414,137
415,224
416,129
417,128
418,0
419,136
420,33
421,64
422,256
423,403
424,128
425,64
426,130
427,263
428,130
429,323
430,67
431,1
432,384
433,9
434,2
435,255
436,71
437,1
438,71
439,384
440,9
441,130
442,128
443,263
444,392
445,259
446,323
447,258
448,259
449,133
450,263
451,137
452,452
453,263
454,136
455,136
456,129
457,128
458,129
459,255
460,136
461,452
462,1
463,9
464,1
465,465
466,259
467,133
468,136
469,263
470,259
471,9
472,133
473,259
474,128
475,0
476,259
477,392
478,263
479,392
480,130
481,256
482,263
483,403
484,259
485,133
486,137
487,256
488,256
489,130
490,263
491,263
492,130
493,392
494,2
495,133
496,136
497,71
498,130
499,137
