source,target
0,16
0,409
0,276
0,346
0,91
0,475
0,418
0,2
1,433
1,233
1,28
1,27
1,260
1,437
1,431
1,75
1,304
1,307
1,331
1,388
1,281
1,462
2,46
2,357
2,351
2,160
2,6
2,494
2,434
2,161
2,212
3,487
3,40
3,28
3,8
3,273
3,21
3,481
3,230
3,229
4,429
4,12
4,293
4,114
4,410
4,278
4,41
5,19
5,164
5,374
5,30
6,160
6,94
6,357
6,494
6,212
6,13
6,434
7,449
7,153
7,186
7,123
7,306
7,149
7,60
7,189
7,195
7,470
7,484
8,119
8,40
8,356
8,21
8,229
8,98
8,36
8,481
9,48
9,90
9,105
9,335
9,176
9,253
9,13
9,57
9,93
9,358
10,319
10,396
10,88
10,104
10,486
10,323
10,30
11,387
11,492
11,170
11,113
11,353
11,283
11,328
11,326
11,266
11,249
11,80
11,78
11,285
11,130
11,295
11,459
11,399
11,51
11,441
11,337
12,446
12,293
12,398
12,429
12,193
12,410
13,410
13,293
13,322
13,398
13,429
14,51
14,159
14,147
14,56
14,326
14,30
14,193
14,451
14,110
15,164
15,33
15,420
15,242
15,246
15,270
15,223
16,418
16,299
16,409
16,91
16,431
16,346
16,475
16,179
17,178
17,160
17,67
17,23
17,365
17,288
17,183
17,200
18,455
18,258
18,447
18,150
18,274
19,164
19,234
19,384
20,478
20,302
20,69
20,405
20,29
21,356
21,131
21,487
21,103
21,286
21,289
21,369
21,36
21,352
21,396
21,279
21,481
21,229
22,136
22,138
22,460
22,220
22,252
22,297
22,317
22,247
22,172
22,316
22,331
22,375
22,300
22,468
22,24
22,202
22,244
22,376
23,375
23,288
23,430
23,284
23,311
24,133
24,265
24,148
24,181
24,196
24,70
24,81
24,467
24,472
24,221
25,132
25,339
25,139
25,448
25,433
25,229
26,403
26,368
26,180
26,483
26,226
26,411
26,101
27,269
27,260
27,388
27,281
27,43
28,301
28,388
28,281
28,75
28,462
29,302
29,85
29,310
29,346
30,141
30,396
30,159
30,66
30,268
30,298
30,104
30,152
30,206
30,162
30,106
30,57
31,387
31,400
31,197
31,80
31,51
31,328
31,78
31,232
31,113
31,351
31,322
31,479
32,278
32,150
32,402
32,387
33,328
33,242
33,270
33,380
33,223
34,328
34,414
34,376
34,377
34,188
34,406
34,300
34,202
34,287
34,454
34,496
34,244
34,45
35,269
35,54
35,61
35,474
35,98
35,217
35,417
35,180
35,168
36,273
36,131
36,369
36,422
36,279
36,103
36,286
36,138
36,481
37,241
37,408
37,222
37,233
37,435
37,79
37,218
37,96
37,383
38,268
38,298
38,56
38,206
38,295
38,499
38,239
38,106
38,384
38,315
38,193
38,451
38,207
38,341
38,345
38,104
39,128
39,269
39,442
39,169
39,158
39,168
39,457
40,264
40,292
40,422
40,131
40,488
40,352
40,369
40,119
40,45
40,229
40,487
40,256
40,228
40,481
40,103
40,472
41,496
41,410
41,398
41,431
42,452
42,412
42,391
42,393
42,289
43,388
43,281
43,431
43,304
43,325
43,425
43,307
44,287
44,268
44,370
45,48
45,131
45,273
45,230
45,488
45,487
45,103
46,266
46,232
46,400
46,113
46,51
46,328
46,492
46,332
47,263
47,359
47,49
47,68
47,336
47,338
48,315
48,220
48,205
48,322
48,332
48,471
48,354
48,358
49,427
49,336
49,124
49,301
49,338
49,381
49,365
49,453
49,100
50,287
50,108
50,187
50,364
50,64
50,370
50,297
50,485
51,411
51,426
51,492
51,166
51,249
51,151
51,197
51,328
51,232
51,113
51,78
51,400
51,480
51,283
51,130
51,102
51,167
51,165
51,489
51,387
51,428
51,285
51,80
51,121
51,326
51,251
51,498
51,353
51,266
51,399
51,282
51,303
51,345
51,478
51,223
52,73
52,191
52,476
52,158
52,84
52,228
53,149
53,344
53,87
53,342
53,115
53,167
53,189
53,194
53,466
53,470
54,491
54,144
54,269
54,169
54,457
54,55
55,475
55,494
55,434
55,87
55,448
55,186
55,466
55,470
55,342
55,484
56,268
56,396
56,110
56,59
56,390
56,207
56,104
56,302
56,181
57,271
57,440
57,358
57,238
57,199
57,58
57,92
57,93
57,450
57,63
57,322
58,313
58,433
58,185
58,198
58,358
58,190
58,463
58,340
58,72
58,184
58,344
58,322
58,93
59,137
59,268
59,141
59,396
59,159
59,201
59,330
59,110
60,87
60,134
60,470
60,189
60,356
60,62
60,448
60,194
60,200
60,484
61,128
61,269
61,417
61,169
61,365
61,416
62,159
62,188
62,149
62,216
62,97
62,473
62,235
62,213
62,448
62,466
63,169
63,440
63,340
63,126
63,329
63,358
63,366
63,203
63,215
63,143
63,198
63,450
63,322
63,199
63,72
64,363
64,390
64,257
65,128
65,417
65,168
65,442
65,209
65,171
65,73
65,457
65,448
66,396
66,451
66,207
66,109
66,201
66,341
66,104
66,110
66,366
67,311
67,430
67,183
67,85
68,308
68,443
68,453
68,99
68,469
68,491
68,427
68,416
68,100
68,161
69,110
69,138
69,274
69,406
69,291
69,297
69,188
69,454
69,202
69,220
69,377
69,350
70,148
70,181
70,196
70,221
71,367
71,178
71,156
71,436
71,361
71,264
71,404
71,179
72,440
72,184
72,334
72,190
72,358
73,144
73,158
73,191
73,407
73,236
74,154
74,384
74,385
74,439
74,321
74,432
74,315
74,133
75,232
75,388
75,437
75,464
75,467
76,453
76,443
76,336
76,294
76,99
76,114
77,290
77,337
77,245
77,233
77,122
77,112
77,360
77,324
77,120
77,248
77,493
77,174
77,236
77,90
77,237
77,373
78,411
78,428
78,328
78,399
78,426
78,320
78,353
78,102
78,167
78,282
78,151
78,387
78,113
78,285
78,228
78,337
78,498
79,459
79,350
79,240
79,225
79,320
79,218
79,254
80,387
80,151
80,328
80,489
80,197
80,492
80,426
80,353
80,285
80,298
80,113
80,341
81,393
81,355
81,204
81,461
81,287
81,214
81,284
82,396
82,154
82,159
82,193
82,239
82,341
82,394
82,106
82,295
82,141
82,207
82,451
82,292
82,110
82,97
83,151
83,167
83,441
83,328
83,498
83,422
83,230
84,129
84,416
84,314
84,456
84,483
84,307
84,466
85,110
85,302
85,310
86,465
86,116
86,211
86,379
86,88
86,244
87,259
87,445
87,448
87,200
87,470
87,342
87,484
88,394
88,147
88,159
88,315
88,201
88,341
89,266
89,189
89,466
89,470
89,487
90,354
90,215
90,358
90,456
91,475
91,298
91,418
91,403
92,176
92,433
92,440
92,322
92,358
93,205
93,471
93,106
93,358
93,253
93,333
94,359
94,351
94,187
94,160
95,395
95,415
95,386
95,262
95,224
95,461
95,281
95,325
96,348
96,350
96,397
96,459
96,333
96,254
96,241
96,383
96,255
96,362
96,188
97,470
97,342
97,127
97,445
97,111
97,259
97,153
97,484
98,168
98,171
98,218
98,250
98,212
99,100
99,482
99,381
99,333
99,219
99,259
100,327
100,478
100,336
100,263
100,378
100,338
100,491
100,453
100,308
100,469
100,124
100,227
100,359
100,482
100,192
100,318
100,231
100,301
100,333
100,104
100,389
101,403
101,423
101,165
102,478
102,125
102,428
102,441
102,113
102,498
103,399
103,256
103,261
103,119
103,356
103,229
103,162
104,396
104,154
104,315
104,201
104,451
104,268
104,414
104,499
104,361
104,296
104,486
104,207
104,206
104,159
104,330
104,141
104,106
104,295
104,394
104,413
104,492
104,110
104,481
105,176
105,322
105,205
105,358
105,150
105,380
106,394
106,159
106,315
107,349
107,213
107,490
107,219
107,484
108,370
108,187
108,364
108,384
109,280
109,333
109,210
