"node","mean","sd_total","sd_between","sd_within","se"
"1",0.02,0.14142135623731,0.14142135623731,0,0.02
"2",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"3",0.34,0.478518120698406,0.478518120698406,0,0.0676726816132972
"4",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"5",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"6",0.26,0.443087497693452,0.443087497693452,0,0.0626620348556037
"7",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
"8",0.48,0.504672049504448,0.504672049504448,0,0.0713714056959817
"9",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"10",0.22,0.41845195759648,0.41845195759648,0,0.0591780433634514
"11",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"12",0.0286666666666667,0.168264450107763,0.152976514730062,0.0700793201387621,0.0217096834443345
"13",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"14",0.32,0.471212071499161,0.471212071499161,0,0.0666394502268034
"15",0.58,0.49856938190329,0.49856938190329,0,0.0705083581671604
"16",0.4,0.494871659305394,0.494871659305394,0,0.0699854212223765
"17",0.52,0.504672049504448,0.504672049504448,0,0.0713714056959817
"18",0.24,0.4314191105869,0.4314191105869,0,0.0610118757258932
"19",0.4,0.494871659305394,0.494871659305394,0,0.0699854212223765
"20",0.02,0.14142135623731,0.14142135623731,0,0.02
"21",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"22",0,0,0,0,0
"23",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"24",0.22,0.41845195759648,0.41845195759648,0,0.0591780433634514
"25",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"26",0.32,0.471212071499161,0.471212071499161,0,0.0666394502268034
"27",0,0,0,0,0
"28",0,0,0,0,0
"29",0.46,0.503457433905888,0.503457433905888,0,0.0711996331107264
"30",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"31",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"32",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"33",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"34",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"35",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"36",0.46,0.503457433905888,0.503457433905888,0,0.0711996331107264
"37",0.3,0.462910049886276,0.462910049886276,0,0.0654653670707977
"38",0.34,0.478518120698406,0.478518120698406,0,0.0676726816132972
"39",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"40",0.02,0.14142135623731,0.14142135623731,0,0.02
"41",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"42",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
"43",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"44",0.02,0.14142135623731,0.14142135623731,0,0.02
"45",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"46",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"47",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"48",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"49",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"50",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"51",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"52",0.44,0.501426536422407,0.501426536422407,0,0.0709124208342335
"53",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
"54",0.02,0.14142135623731,0.14142135623731,0,0.02
"55",0.52,0.504672049504448,0.504672049504448,0,0.0713714056959817
"56",0,0,0,0,0
"57",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"58",0.32,0.471212071499161,0.471212071499161,0,0.0666394502268034
"59",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"60",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"61",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"62",0.02,0.14142135623731,0.14142135623731,0,0.02
"63",0.42,0.49856938190329,0.49856938190329,0,0.0705083581671604
"64",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
"65",0.48,0.504672049504448,0.504672049504448,0,0.0713714056959817
"66",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"67",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"68",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"69",0.3,0.462910049886276,0.462910049886276,0,0.0654653670707977
"70",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"71",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"72",0.22,0.41845195759648,0.41845195759648,0,0.0591780433634514
"73",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"74",0.58,0.49856938190329,0.49856938190329,0,0.0705083581671604
"75",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"76",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"77",0.56,0.501426536422407,0.501426536422407,0,0.0709124208342335
"78",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"79",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"80",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"81",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"82",0.02,0.14142135623731,0.14142135623731,0,0.02
"83",0,0,0,0,0
"84",0.56,0.501426536422407,0.501426536422407,0,0.0709124208342335
"85",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"86",0.42,0.49856938190329,0.49856938190329,0,0.0705083581671604
"87",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
"88",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"89",0.42,0.49856938190329,0.49856938190329,0,0.0705083581671604
"90",0.24,0.4314191105869,0.4314191105869,0,0.0610118757258932
"91",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"92",0.34,0.478518120698406,0.478518120698406,0,0.0676726816132972
"93",0.32,0.471212071499161,0.471212071499161,0,0.0666394502268034
"94",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"95",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"96",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"97",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"98",0.32,0.471212071499161,0.471212071499161,0,0.0666394502268034
"99",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"100",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"101",0.46,0.503457433905888,0.503457433905888,0,0.0711996331107264
"102",0.26,0.443087497693452,0.443087497693452,0,0.0626620348556037
"103",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"104",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"105",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"106",0.42,0.49856938190329,0.49856938190329,0,0.0705083581671604
"107",0,0,0,0,0
"108",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"109",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
"110",0.22,0.41845195759648,0.41845195759648,0,0.0591780433634514
"111",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"112",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"113",0.46,0.503457433905888,0.503457433905888,0,0.0711996331107264
"114",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"115",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"116",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"117",0.24,0.4314191105869,0.4314191105869,0,0.0610118757258932
"118",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"119",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"120",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"121",0,0,0,0,0
"122",0.02,0.14142135623731,0.14142135623731,0,0.02
"123",0.34,0.478518120698406,0.478518120698406,0,0.0676726816132972
"124",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"125",0.24,0.4314191105869,0.4314191105869,0,0.0610118757258932
"126",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"127",0.42,0.49856938190329,0.49856938190329,0,0.0705083581671604
"128",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"129",0.24,0.4314191105869,0.4314191105869,0,0.0610118757258932
"130",0.58,0.49856938190329,0.49856938190329,0,0.0705083581671604
"131",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"132",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"133",0.3,0.462910049886276,0.462910049886276,0,0.0654653670707977
"134",0.6,0.494871659305394,0.494871659305394,0,0.0699854212223765
"135",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"136",0.32,0.471212071499161,0.471212071499161,0,0.0666394502268034
"137",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"138",0.250666666666667,0.437680963545755,0.431956997943733,0.0705533682950557,0.0611151002614719
"139",0.26,0.443087497693452,0.443087497693452,0,0.0626620348556037
"140",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"141",0.02,0.14142135623731,0.14142135623731,0,0.02
"142",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"143",0.42,0.49856938190329,0.49856938190329,0,0.0705083581671604
"144",0.4,0.494871659305394,0.494871659305394,0,0.0699854212223765
"145",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"146",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"147",0.54,0.503457433905888,0.503457433905888,0,0.0711996331107264
"148",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"149",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"150",0.24,0.4314191105869,0.4314191105869,0,0.0610118757258932
"151",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"152",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"153",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"154",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"155",0.26,0.443087497693452,0.443087497693452,0,0.0626620348556037
"156",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"157",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"158",0.52,0.504672049504448,0.504672049504448,0,0.0713714056959817
"159",0.34,0.478518120698406,0.478518120698406,0,0.0676726816132972
"160",0.02,0.14142135623731,0.14142135623731,0,0.02
"161",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"162",0.42,0.49856938190329,0.49856938190329,0,0.0705083581671604
"163",0.34,0.478518120698406,0.478518120698406,0,0.0676726816132972
"164",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"165",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"166",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"167",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"168",0.3,0.462910049886276,0.462910049886276,0,0.0654653670707977
"169",0.22,0.41845195759648,0.41845195759648,0,0.0591780433634514
"170",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"171",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"172",0.4,0.494871659305394,0.494871659305394,0,0.0699854212223765
"173",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"174",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"175",0.48,0.504672049504448,0.504672049504448,0,0.0713714056959817
"176",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"177",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"178",0.02,0.14142135623731,0.14142135623731,0,0.02
"179",0.44,0.501426536422407,0.501426536422407,0,0.0709124208342335
"180",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"181",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"182",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"183",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"184",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"185",0.46,0.503457433905888,0.503457433905888,0,0.0711996331107264
"186",0.44,0.501426536422407,0.501426536422407,0,0.0709124208342335
"187",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"188",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"189",0.5,0.505076272276105,0.505076272276105,0,0.0714285714285714
"190",0.26,0.443087497693452,0.443087497693452,0,0.0626620348556037
"191",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"192",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"193",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"194",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"195",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"196",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"197",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"198",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"199",0.02,0.14142135623731,0.14142135623731,0,0.02
"200",0.32,0.471212071499161,0.471212071499161,0,0.0666394502268034
"201",0.3,0.462910049886276,0.462910049886276,0,0.0654653670707977
"202",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"203",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"204",0.54,0.503457433905888,0.503457433905888,0,0.0711996331107264
"205",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"206",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"207",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"208",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"209",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"210",0.32,0.471212071499161,0.471212071499161,0,0.0666394502268034
"211",0,0,0,0,0
"212",0.02,0.14142135623731,0.14142135623731,0,0.02
"213",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"214",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"215",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"216",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"217",0.02,0.14142135623731,0.14142135623731,0,0.02
"218",0.24,0.4314191105869,0.4314191105869,0,0.0610118757258932
"219",0,0,0,0,0
"220",0.24,0.4314191105869,0.4314191105869,0,0.0610118757258932
"221",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"222",0,0,0,0,0
"223",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"224",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"225",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"226",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"227",0.3,0.462910049886276,0.462910049886276,0,0.0654653670707977
"228",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"229",0.42,0.49856938190329,0.49856938190329,0,0.0705083581671604
"230",0.0493333333333333,0.218529407725405,0.206826797739168,0.0705533682950557,0.0293063986832106
"231",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"232",0.44,0.501426536422407,0.501426536422407,0,0.0709124208342335
"233",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"234",0.52,0.504672049504448,0.504672049504448,0,0.0713714056959817
"235",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"236",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"237",0.251333333333333,0.438069357413597,0.432427624919651,0.0700793201387621,0.0611812642068394
"238",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"239",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"240",0,0,0,0,0
"241",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"242",0.02,0.14142135623731,0.14142135623731,0,0.02
"243",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"244",0.02,0.14142135623731,0.14142135623731,0,0.02
"245",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"246",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"247",0.349333333333333,0.481494272752935,0.476297130913152,0.0705533682950557,0.0673832149488321
"248",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"249",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"250",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"251",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"252",0.22,0.41845195759648,0.41845195759648,0,0.0591780433634514
"253",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"254",0.44,0.501426536422407,0.501426536422407,0,0.0709124208342335
"255",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"256",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"257",0.24,0.4314191105869,0.4314191105869,0,0.0610118757258932
"258",0.22,0.41845195759648,0.41845195759648,0,0.0591780433634514
"259",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"260",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
"261",0.46,0.503457433905888,0.503457433905888,0,0.0711996331107264
"262",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"263",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"264",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"265",0.22,0.41845195759648,0.41845195759648,0,0.0591780433634514
"266",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"267",0.54,0.503457433905888,0.503457433905888,0,0.0711996331107264
"268",0.24,0.4314191105869,0.4314191105869,0,0.0610118757258932
"269",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"270",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"271",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"272",0.22,0.41845195759648,0.41845195759648,0,0.0591780433634514
"273",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"274",0.3,0.462910049886276,0.462910049886276,0,0.0654653670707977
"275",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"276",0.4,0.494871659305394,0.494871659305394,0,0.0699854212223765
"277",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"278",0.02,0.14142135623731,0.14142135623731,0,0.02
"279",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"280",0.26,0.443087497693452,0.443087497693452,0,0.0626620348556037
"281",0.3,0.462910049886276,0.462910049886276,0,0.0654653670707977
"282",0,0,0,0,0
"283",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"284",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
"285",0.02,0.14142135623731,0.14142135623731,0,0.02
"286",0.54,0.503457433905888,0.503457433905888,0,0.0711996331107264
"287",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"288",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"289",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"290",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"291",0.58,0.49856938190329,0.49856938190329,0,0.0705083581671604
"292",0.02,0.14142135623731,0.14142135623731,0,0.02
"293",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
"294",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"295",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"296",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"297",0.44,0.501426536422407,0.501426536422407,0,0.0709124208342335
"298",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"299",0.42,0.49856938190329,0.49856938190329,0,0.0705083581671604
"300",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"301",0.44,0.501426536422407,0.501426536422407,0,0.0709124208342335
"302",0.32,0.471212071499161,0.471212071499161,0,0.0666394502268034
"303",0.44,0.501426536422407,0.501426536422407,0,0.0709124208342335
"304",0.02,0.14142135623731,0.14142135623731,0,0.02
"305",0.46,0.503457433905888,0.503457433905888,0,0.0711996331107264
"306",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"307",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"308",0.32,0.471212071499161,0.471212071499161,0,0.0666394502268034
