"node","mean","sd_total","sd_between","sd_within","se"
"1",0,0,0,0,0
"2",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"3",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"4",0,0,0,0,0
"5",0.02,0.14142135623731,0.14142135623731,0,0.02
"6",0.24,0.4314191105869,0.4314191105869,0,0.0610118757258932
"7",0.5,0.505076272276105,0.505076272276105,0,0.0714285714285714
"8",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"9",0.02,0.14142135623731,0.14142135623731,0,0.02
"10",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"11",0,0,0,0,0
"12",0,0,0,0,0
"13",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"14",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"15",0.488,0.504833777452681,0.50005713959221,0.0692820323027551,0.0707413800907422
"16",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"17",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"18",0.02,0.14142135623731,0.14142135623731,0,0.02
"19",0.5,0.505076272276105,0.505076272276105,0,0.0714285714285714
"20",0,0,0,0,0
"21",0,0,0,0,0
"22",0,0,0,0,0
"23",0.02,0.14142135623731,0.14142135623731,0,0.02
"24",0.02,0.14142135623731,0.14142135623731,0,0.02
"25",0.02,0.14142135623731,0.14142135623731,0,0.02
"26",0.322666666666667,0.472054418631644,0.462735629748292,0.0933333333333333,0.0654850568311457
"27",0,0,0,0,0
"28",0,0,0,0,0
"29",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"30",0.34,0.478518120698406,0.478518120698406,0,0.0676726816132972
"31",0,0,0,0,0
"32",0,0,0,0,0
"33",0,0,0,0,0
"34",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"35",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"36",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"37",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"38",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"39",0.02,0.14142135623731,0.14142135623731,0,0.02
"40",0,0,0,0,0
"41",0,0,0,0,0
"42",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"43",0,0,0,0,0
"44",0,0,0,0,0
"45",0,0,0,0,0
"46",0,0,0,0,0
"47",0,0,0,0,0
"48",0,0,0,0,0
"49",0,0,0,0,0
"50",0,0,0,0,0
"51",0.02,0.14142135623731,0.14142135623731,0,0.02
"52",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"53",0.3,0.462910049886276,0.462910049886276,0,0.0654653670707977
"54",0,0,0,0,0
"55",0.6,0.494871659305394,0.494871659305394,0,0.0699854212223765
"56",0,0,0,0,0
"57",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"58",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"59",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"60",0,0,0,0,0
"61",0,0,0,0,0
"62",0,0,0,0,0
"63",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"64",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"65",0.44,0.501426536422407,0.501426536422407,0,0.0709124208342335
"66",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"67",0,0,0,0,0
"68",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"69",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"70",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"71",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"72",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"73",0.02,0.14142135623731,0.14142135623731,0,0.02
"74",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"75",0,0,0,0,0
"76",0,0,0,0,0
"77",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"78",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"79",0.02,0.14142135623731,0.14142135623731,0,0.02
"80",0,0,0,0,0
"81",0,0,0,0,0
"82",0,0,0,0,0
"83",0,0,0,0,0
"84",0.32,0.471212071499161,0.471212071499161,0,0.0666394502268034
"85",0,0,0,0,0
"86",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"87",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"88",0,0,0,0,0
"89",0.285333333333333,0.456070170039655,0.451761982562598,0.0625388767976457,0.0639091948406893
"90",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"91",0,0,0,0,0
"92",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"93",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"94",0,0,0,0,0
"95",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
"96",0,0,0,0,0
"97",0,0,0,0,0
"98",0.26,0.443087497693452,0.443087497693452,0,0.0626620348556037
"99",0,0,0,0,0
"100",0,0,0,0,0
"101",0.4,0.494871659305394,0.494871659305394,0,0.0699854212223765
"102",0.02,0.14142135623731,0.14142135623731,0,0.02
"103",0,0,0,0,0
"104",0,0,0,0,0
"105",0,0,0,0,0
"106",0.34,0.478518120698406,0.478518120698406,0,0.0676726816132972
"107",0,0,0,0,0
"108",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"109",0.32,0.471212071499161,0.471212071499161,0,0.0666394502268034
"110",0,0,0,0,0
"111",0,0,0,0,0
"112",0,0,0,0,0
"113",0.3,0.462910049886276,0.462910049886276,0,0.0654653670707977
"114",0,0,0,0,0
"115",0,0,0,0,0
"116",0,0,0,0,0
"117",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"118",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"119",0,0,0,0,0
"120",0,0,0,0,0
"121",0,0,0,0,0
"122",0,0,0,0,0
"123",0.22,0.41845195759648,0.41845195759648,0,0.0591780433634514
"124",0,0,0,0,0
"125",0,0,0,0,0
"126",0,0,0,0,0
"127",0.42,0.49856938190329,0.49856938190329,0,0.0705083581671604
"128",0,0,0,0,0
"129",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"130",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
"131",0,0,0,0,0
"132",0,0,0,0,0
"133",0,0,0,0,0
"134",0.3,0.462910049886276,0.462910049886276,0,0.0654653670707977
"135",0,0,0,0,0
"136",0.22,0.41845195759648,0.41845195759648,0,0.0591780433634514
"137",0,0,0,0,0
"138",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"139",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"140",0,0,0,0,0
"141",0,0,0,0,0
"142",0,0,0,0,0
"143",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"144",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"145",0,0,0,0,0
"146",0,0,0,0,0
"147",0.425333333333333,0.499332888295307,0.495401072084248,0.0625388767976457,0.0700788973361586
"148",0,0,0,0,0
"149",0,0,0,0,0
"150",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"151",0.0973333333333333,0.299341681322316,0.295456140680406,0.0480740170061865,0.0418022411128391
"152",0,0,0,0,0
"153",0.02,0.14142135623731,0.14142135623731,0,0.02
"154",0,0,0,0,0
"155",0,0,0,0,0
"156",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"157",0,0,0,0,0
"158",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
"159",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"160",0,0,0,0,0
"161",0,0,0,0,0
"162",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
"163",0.0773333333333333,0.269744146853838,0.265425683856694,0.0480740170061865,0.0375573776208698
"164",0,0,0,0,0
"165",0,0,0,0,0
"166",0,0,0,0,0
"167",0,0,0,0,0
"168",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"169",0,0,0,0,0
"170",0,0,0,0,0
"171",0,0,0,0,0
"172",0.4,0.494871659305394,0.494871659305394,0,0.0699854212223765
"173",0,0,0,0,0
"174",0,0,0,0,0
"175",0.34,0.478518120698406,0.478518120698406,0,0.0676726816132972
"176",0.02,0.14142135623731,0.14142135623731,0,0.02
"177",0.02,0.14142135623731,0.14142135623731,0,0.02
"178",0,0,0,0,0
"179",0.3,0.462910049886276,0.462910049886276,0,0.0654653670707977
"180",0.3,0.462910049886276,0.462910049886276,0,0.0654653670707977
"181",0,0,0,0,0
"182",0,0,0,0,0
"183",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"184",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"185",0.54,0.503457433905888,0.503457433905888,0,0.0711996331107264
"186",0.38,0.490314351478015,0.490314351478015,0,0.0693409205686377
