"node","mean","sd_total","sd_between","sd_within","se"
"1",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"2",0.34,0.478518120698406,0.478518120698406,0,0.0676726816132972
"3",0.02,0.14142135623731,0.14142135623731,0,0.02
"4",0,0,0,0,0
"5",0.5,0.505076272276105,0.505076272276105,0,0.0714285714285714
"6",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"7",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"8",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"9",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"10",0.036,0.188007815729853,0.179295674168426,0.0565685424949238,0.0253982698001958
"11",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"12",0.02,0.14142135623731,0.14142135623731,0,0.02
"13",0.02,0.14142135623731,0.14142135623731,0,0.02
"14",0,0,0,0,0
"15",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"16",0.02,0.14142135623731,0.14142135623731,0,0.02
"17",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"18",0.48,0.504672049504448,0.504672049504448,0,0.0713714056959817
"19",0.02,0.14142135623731,0.14142135623731,0,0.02
"20",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"21",0.02,0.14142135623731,0.14142135623731,0,0.02
"22",0,0,0,0,0
"23",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"24",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"25",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"26",0.02,0.14142135623731,0.14142135623731,0,0.02
"27",0,0,0,0,0
"28",0,0,0,0,0
"29",0.4,0.494871659305394,0.494871659305394,0,0.0699854212223765
"30",0.5,0.505076272276105,0.505076272276105,0,0.0714285714285714
"31",0.2,0.404061017820884,0.404061017820884,0,0.0571428571428571
"32",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"33",0.12,0.328260722659316,0.328260722659316,0,0.0464230765979198
"34",0,0,0,0,0
"35",0,0,0,0,0
"36",0,0,0,0,0
"37",0,0,0,0,0
"38",0.02,0.14142135623731,0.14142135623731,0,0.02
"39",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"40",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"41",0,0,0,0,0
"42",0.02,0.14142135623731,0.14142135623731,0,0.02
"43",0.02,0.14142135623731,0.14142135623731,0,0.02
"44",0,0,0,0,0
"45",0.28,0.453557367611073,0.453557367611073,0,0.0641426980589819
"46",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"47",0.02,0.14142135623731,0.14142135623731,0,0.02
"48",0.02,0.14142135623731,0.14142135623731,0,0.02
"49",0,0,0,0,0
"50",0,0,0,0,0
"51",0.02,0.14142135623731,0.14142135623731,0,0.02
"52",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"53",0.08,0.27404751561787,0.27404751561787,0,0.0387561713321444
"54",0.02,0.14142135623731,0.14142135623731,0,0.02
"55",0,0,0,0,0
"56",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"57",0.18,0.388087934491604,0.388087934491604,0,0.0548839220351387
"58",0.02,0.14142135623731,0.14142135623731,0,0.02
"59",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"60",0,0,0,0,0
"61",0.02,0.14142135623731,0.14142135623731,0,0.02
"62",0.02,0.14142135623731,0.14142135623731,0,0.02
"63",0.02,0.14142135623731,0.14142135623731,0,0.02
"64",0.244,0.433777898591114,0.430073558017838,0.0565685424949238,0.0608391209622212
"65",0,0,0,0,0
"66",0.02,0.14142135623731,0.14142135623731,0,0.02
"67",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"68",0.06,0.239897937482095,0.239897937482095,0,0.0339266916772512
"69",0,0,0,0,0
"70",0,0,0,0,0
"71",0,0,0,0,0
"72",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
"73",0.02,0.14142135623731,0.14142135623731,0,0.02
"74",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"75",0.02,0.14142135623731,0.14142135623731,0,0.02
"76",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"77",0.04,0.197948663722157,0.197948663722157,0,0.0279941684889506
"78",0,0,0,0,0
"79",0.02,0.14142135623731,0.14142135623731,0,0.02
"80",0.16,0.370328039909021,0.370328039909021,0,0.0523722936566382
