"node","mean","sd_total","sd_between","sd_within","se"
"1",0.68,0.471212071499161,0.471212071499161,0,0.0666394502268034
"2",0.92,0.27404751561787,0.27404751561787,0,0.0387561713321444
"3",0.68,0.471212071499161,0.471212071499161,0,0.0666394502268034
"4",0.8,0.404061017820884,0.404061017820884,0,0.0571428571428571
"5",0.5,0.505076272276105,0.505076272276105,0,0.0714285714285714
"6",0.7,0.462910049886276,0.462910049886276,0,0.0654653670707977
"7",0.22,0.41845195759648,0.41845195759648,0,0.0591780433634514
"8",0.82,0.388087934491604,0.388087934491604,0,0.0548839220351387
"9",0.62,0.490314351478015,0.490314351478015,0,0.0693409205686377
"10",0.72,0.453557367611073,0.453557367611073,0,0.0641426980589819
"11",0.78,0.41845195759648,0.41845195759648,0,0.0591780433634514
"12",0.72,0.453557367611073,0.453557367611073,0,0.0641426980589819
"13",0.1,0.303045763365663,0.303045763365663,0,0.0428571428571429
"14",0.68,0.471212071499161,0.471212071499161,0,0.0666394502268034
"15",0.9,0.303045763365663,0.303045763365663,0,0.0428571428571429
"16",0.7,0.462910049886276,0.462910049886276,0,0.0654653670707977
"17",0.72,0.453557367611073,0.453557367611073,0,0.0641426980589819
"18",0.86,0.350509832753866,0.350509832753866,0,0.0495695759225642
"19",0.14,0.350509832753866,0.350509832753866,0,0.0495695759225642
"20",0.7,0.462910049886276,0.462910049886276,0,0.0654653670707977
"21",0.5,0.505076272276105,0.505076272276105,0,0.0714285714285714
"22",0.68,0.471212071499161,0.471212071499161,0,0.0666394502268034
"23",0.82,0.388087934491604,0.388087934491604,0,0.0548839220351387
"24",0.82,0.388087934491604,0.388087934491604,0,0.0548839220351387
"25",0.84,0.370328039909021,0.370328039909021,0,0.0523722936566382
"26",0.92,0.27404751561787,0.27404751561787,0,0.0387561713321444
"27",0.88,0.328260722659316,0.328260722659316,0,0.0464230765979198
"28",0.84,0.370328039909021,0.370328039909021,0,0.0523722936566382
"29",0.64,0.484873221385061,0.484873221385061,0,0.0685714285714286
"30",0.82,0.388087934491604,0.388087934491604,0,0.0548839220351387
"31",0.82,0.388087934491604,0.388087934491604,0,0.0548839220351387
"32",0.94,0.239897937482095,0.239897937482095,0,0.0339266916772512
"33",0.94,0.239897937482095,0.239897937482095,0,0.0339266916772512
"34",0.5,0.505076272276105,0.505076272276105,0,0.0714285714285714
"35",0.6,0.494871659305394,0.494871659305394,0,0.0699854212223765
"36",0.36,0.484873221385061,0.484873221385061,0,0.0685714285714286
