"node","mean","sd_total","sd_between","sd_within","se"
"1",0.0226666666666667,0.148891596414953,0.0281234724956827,0.146211414663075,0.00548365261082066
"2",0,0,0,0,0
"3",0,0,0,0,0
"4",0,0,0,0,0
"5",0,0,0,0,0
"6",0,0,0,0,0
"7",0,0,0,0,0
"8",0,0,0,0,0
"9",0,0,0,0,0
"10",0.165333333333333,0.371617778426477,0.0712569366476567,0.364722116442398,0.0137924799035433
"11",0,0,0,0,0
"12",0,0,0,0,0
"13",0.00866666666666667,0.09271906706188,0.0162324386181517,0.0912870929175277,0.00329019708002375
"14",0.004,0.0631379011198751,0.0109420240886439,0.0621825270205921,0.00222987344952736
"15",0,0,0,0,0
"16",0.00866666666666667,0.09271906706188,0.0162324386181517,0.0912870929175277,0.00329019708002375
"17",0,0,0,0,0
"18",0.0226666666666667,0.148891596414953,0.0281234724956827,0.146211414663075,0.00548365261082066
"19",0,0,0,0,0
"20",0,0,0,0,0
"21",0,0,0,0,0
"22",0,0,0,0,0
"23",0,0,0,0,0
"24",0,0,0,0,0
"25",0,0,0,0,0
"26",0,0,0,0,0
"27",0,0,0,0,0
"28",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"29",0,0,0,0,0
"30",0.026,0.160385024266826,0.141307467791036,0.0758653778449403,0.0200796674799991
"31",0.026,0.160385024266826,0.141307467791036,0.0758653778449403,0.0200796674799991
"32",0.0226666666666667,0.148891596414953,0.0281234724956827,0.146211414663075,0.00548365261082066
"33",0.004,0.0631379011198751,0.0109420240886439,0.0621825270205921,0.00222987344952736
"34",0,0,0,0,0
"35",0,0,0,0,0
"36",0,0,0,0,0
"37",0,0,0,0,0
"38",0.00866666666666667,0.09271906706188,0.0162324386181517,0.0912870929175277,0.00329019708002375
"39",0,0,0,0,0
"40",0,0,0,0,0
"41",0.026,0.160385024266826,0.141307467791036,0.0758653778449403,0.0200796674799991
"42",0,0,0,0,0
"43",0,0,0,0,0
"44",0,0,0,0,0
"45",0,0,0,0,0
"46",0.0226666666666667,0.148891596414953,0.0281234724956827,0.146211414663075,0.00548365261082066
"47",0,0,0,0,0
"48",0.026,0.160385024266826,0.141307467791036,0.0758653778449403,0.0200796674799991
"49",0.0393333333333333,0.194453708881983,0.0360712321226774,0.191078808639554,0.00709671871203179
"50",0.0386666666666667,0.192861258039575,0.0345754949727073,0.189736659610103,0.00692165421356443
"51",0,0,0,0,0
"52",0,0,0,0,0
"53",0,0,0,0,0
"54",0,0,0,0,0
"55",0,0,0,0,0
"56",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"57",0,0,0,0,0
"58",0,0,0,0,0
"59",0,0,0,0,0
"60",0,0,0,0,0
"61",0,0,0,0,0
"62",0,0,0,0,0
"63",0,0,0,0,0
"64",0,0,0,0,0
"65",0,0,0,0,0
"66",0.00466666666666667,0.0681734482597077,0.0116836610917955,0.0671648055986996,0.00239532171901107
"67",0,0,0,0,0
"68",0.026,0.160385024266826,0.141307467791036,0.0758653778449403,0.0200796674799991
"69",0,0,0,0,0
"70",0,0,0,0,0
"71",0,0,0,0,0
"72",0.165333333333333,0.371617778426477,0.0712569366476567,0.364722116442398,0.0137924799035433
"73",0,0,0,0,0
"74",0.00866666666666667,0.09271906706188,0.0162324386181517,0.0912870929175277,0.00329019708002375
"75",0,0,0,0,0
"76",0.165333333333333,0.371617778426477,0.0712569366476567,0.364722116442398,0.0137924799035433
"77",0,0,0,0,0
"78",0,0,0,0,0
"79",0,0,0,0,0
"80",0,0,0,0,0
"81",0,0,0,0,0
"82",0,0,0,0,0
"83",0,0,0,0,0
"84",0.00466666666666667,0.0681734482597077,0.0116836610917955,0.0671648055986996,0.00239532171901107
"85",0,0,0,0,0
"86",0,0,0,0,0
"87",0,0,0,0,0
"88",0,0,0,0,0
"89",0.0226666666666667,0.148891596414953,0.0281234724956827,0.146211414663075,0.00548365261082066
"90",0,0,0,0,0
"91",0.0226666666666667,0.148891596414953,0.0281234724956827,0.146211414663075,0.00548365261082066
"92",0,0,0,0,0
"93",0.00866666666666667,0.09271906706188,0.0162324386181517,0.0912870929175277,0.00329019708002375
"94",0,0,0,0,0
"95",0.165333333333333,0.371617778426477,0.0712569366476567,0.364722116442398,0.0137924799035433
"96",0.0226666666666667,0.148891596414953,0.0281234724956827,0.146211414663075,0.00548365261082066
"97",0.00466666666666667,0.0681734482597077,0.0116836610917955,0.0671648055986996,0.00239532171901107
"98",0,0,0,0,0
"99",0,0,0,0,0
"100",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"101",0.026,0.160385024266826,0.141307467791036,0.0758653778449403,0.0200796674799991
"102",0,0,0,0,0
"103",0,0,0,0,0
"104",0,0,0,0,0
"105",0,0,0,0,0
"106",0,0,0,0,0
"107",0,0,0,0,0
"108",0,0,0,0,0
"109",0,0,0,0,0
"110",0,0,0,0,0
"111",0,0,0,0,0
"112",0,0,0,0,0
"113",0.0386666666666667,0.192861258039575,0.0345754949727073,0.189736659610103,0.00692165421356443
"114",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"115",0,0,0,0,0
"116",0,0,0,0,0
"117",0,0,0,0,0
"118",0.0406666666666667,0.197579456734135,0.0351801325090741,0.194422220952236,0.00706773191817008
"119",0,0,0,0,0
"120",0,0,0,0,0
"121",0.0226666666666667,0.148891596414953,0.0281234724956827,0.146211414663075,0.00548365261082066
"122",0,0,0,0,0
"123",0,0,0,0,0
"124",0,0,0,0,0
"125",0,0,0,0,0
"126",0,0,0,0,0
"127",0,0,0,0,0
"128",0,0,0,0,0
"129",0,0,0,0,0
"130",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"131",0.004,0.0631379011198751,0.0109420240886439,0.0621825270205921,0.00222987344952736
"132",0.004,0.0631379011198751,0.0109420240886439,0.0621825270205921,0.00222987344952736
"133",0,0,0,0,0
"134",0,0,0,0,0
"135",0,0,0,0,0
"136",0,0,0,0,0
"137",0,0,0,0,0
"138",0,0,0,0,0
"139",0,0,0,0,0
"140",0,0,0,0,0
"141",0,0,0,0,0
"142",0,0,0,0,0
"143",0,0,0,0,0
"144",0,0,0,0,0
"145",0,0,0,0,0
"146",0,0,0,0,0
"147",0,0,0,0,0
"148",0.004,0.0631379011198751,0.0109420240886439,0.0621825270205921,0.00222987344952736
"149",0,0,0,0,0
"150",0,0,0,0,0
"151",0,0,0,0,0
"152",0.00466666666666667,0.0681734482597077,0.0116836610917955,0.0671648055986996,0.00239532171901107
"153",0.165333333333333,0.371617778426477,0.0712569366476567,0.364722116442398,0.0137924799035433
"154",0,0,0,0,0
"155",0,0,0,0,0
"156",0,0,0,0,0
"157",0,0,0,0,0
"158",0,0,0,0,0
"159",0.026,0.160385024266826,0.141307467791036,0.0758653778449403,0.0200796674799991
"160",0,0,0,0,0
"161",0,0,0,0,0
"162",0,0,0,0,0
"163",0,0,0,0,0
"164",0,0,0,0,0
"165",0,0,0,0,0
"166",0,0,0,0,0
"167",0.00866666666666667,0.09271906706188,0.0162324386181517,0.0912870929175277,0.00329019708002375
"168",0,0,0,0,0
"169",0,0,0,0,0
"170",0,0,0,0,0
"171",0.00866666666666667,0.09271906706188,0.0162324386181517,0.0912870929175277,0.00329019708002375
"172",0,0,0,0,0
"173",0,0,0,0,0
"174",0,0,0,0,0
"175",0,0,0,0,0
"176",0,0,0,0,0
"177",0,0,0,0,0
"178",0,0,0,0,0
"179",0,0,0,0,0
"180",0,0,0,0,0
"181",0.0226666666666667,0.148891596414953,0.0281234724956827,0.146211414663075,0.00548365261082066
"182",0,0,0,0,0
"183",0,0,0,0,0
"184",0,0,0,0,0
"185",0,0,0,0,0
"186",0,0,0,0,0
"187",0,0,0,0,0
"188",0.00866666666666667,0.09271906706188,0.0162324386181517,0.0912870929175277,0.00329019708002375
"189",0,0,0,0,0
"190",0.026,0.160385024266826,0.141307467791036,0.0758653778449403,0.0200796674799991
"191",0,0,0,0,0
"192",0,0,0,0,0
"193",0,0,0,0,0
"194",0,0,0,0,0
"195",0,0,0,0,0
"196",0,0,0,0,0
"197",0,0,0,0,0
"198",0,0,0,0,0
"199",0.004,0.0631379011198751,0.0109420240886439,0.0621825270205921,0.00222987344952736
"200",0.0226666666666667,0.148891596414953,0.0281234724956827,0.146211414663075,0.00548365261082066
"201",0,0,0,0,0
"202",0,0,0,0,0
"203",0,0,0,0,0
"204",0,0,0,0,0
"205",0,0,0,0,0
"206",0,0,0,0,0
"207",0.165333333333333,0.371617778426477,0.0712569366476567,0.364722116442398,0.0137924799035433
"208",0,0,0,0,0
"209",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"210",0,0,0,0,0
"211",0,0,0,0,0
"212",0,0,0,0,0
"213",0,0,0,0,0
"214",0,0,0,0,0
"215",0,0,0,0,0
"216",0,0,0,0,0
"217",0,0,0,0,0
"218",0,0,0,0,0
"219",0,0,0,0,0
"220",0,0,0,0,0
"221",0.0386666666666667,0.192861258039575,0.0345754949727073,0.189736659610103,0.00692165421356443
"222",0.165333333333333,0.371617778426477,0.0712569366476567,0.364722116442398,0.0137924799035433
"223",0,0,0,0,0
"224",0,0,0,0,0
"225",0,0,0,0,0
"226",0,0,0,0,0
"227",0.165333333333333,0.371617778426477,0.0712569366476567,0.364722116442398,0.0137924799035433
"228",0,0,0,0,0
"229",0,0,0,0,0
"230",0,0,0,0,0
"231",0,0,0,0,0
"232",0,0,0,0,0
"233",0.00866666666666667,0.09271906706188,0.0162324386181517,0.0912870929175277,0.00329019708002375
"234",0,0,0,0,0
"235",0.0226666666666667,0.148891596414953,0.0281234724956827,0.146211414663075,0.00548365261082066
"236",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"237",0,0,0,0,0
"238",0.004,0.0631379011198751,0.0109420240886439,0.0621825270205921,0.00222987344952736
