"node","mean","sd_total","sd_between","sd_within","se"
"1",0.0193333333333333,0.137730223671029,0.0224264987415555,0.13589211407093,0.00472970062765191
"2",0,0,0,0,0
"3",0,0,0,0,0
"4",0,0,0,0,0
"5",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"6",0,0,0,0,0
"7",0,0,0,0,0
"8",0,0,0,0,0
"9",0,0,0,0,0
"10",0.189333333333333,0.392260730542357,0.138249503326659,0.367090663944965,0.0217277596737077
"11",0.02,0.14142135623731,0.14142135623731,0,0.02
"12",0,0,0,0,0
"13",0.006,0.0772544753930409,0.0145841836486796,0.0758653778449403,0.00284446924592362
"14",0.00466666666666667,0.068180100301316,0.0134855259604822,0.0668331255192114,0.00257195761753466
"15",0,0,0,0,0
"16",0.006,0.0772544753930409,0.0145841836486796,0.0758653778449403,0.00284446924592362
"17",0,0,0,0,0
"18",0.0193333333333333,0.137730223671029,0.0224264987415555,0.13589211407093,0.00472970062765191
"19",0,0,0,0,0
"20",0,0,0,0,0
"21",0,0,0,0,0
"22",0,0,0,0,0
"23",0,0,0,0,0
"24",0,0,0,0,0
"25",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"26",0,0,0,0,0
"27",0,0,0,0,0
"28",0,0,0,0,0
"29",0,0,0,0,0
"30",0.0873333333333333,0.284937038038684,0.27229519129396,0.0839311887467611,0.0385692846748884
"31",0.0873333333333333,0.284937038038684,0.27229519129396,0.0839311887467611,0.0385692846748884
"32",0.0193333333333333,0.137730223671029,0.0224264987415555,0.13589211407093,0.00472970062765191
"33",0.00466666666666667,0.068180100301316,0.0134855259604822,0.0668331255192114,0.00257195761753466
"34",0,0,0,0,0
"35",0,0,0,0,0
"36",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"37",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"38",0.006,0.0772544753930409,0.0145841836486796,0.0758653778449403,0.00284446924592362
"39",0,0,0,0,0
"40",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"41",0.0873333333333333,0.284937038038684,0.27229519129396,0.0839311887467611,0.0385692846748884
"42",0,0,0,0,0
"43",0,0,0,0,0
"44",0,0,0,0,0
"45",0,0,0,0,0
"46",0.0193333333333333,0.137730223671029,0.0224264987415555,0.13589211407093,0.00472970062765191
"47",0,0,0,0,0
"48",0.0873333333333333,0.284937038038684,0.27229519129396,0.0839311887467611,0.0385692846748884
"49",0.0313333333333333,0.174270100783843,0.0304240625618348,0.171593835683117,0.00617592918393325
"50",0.0313333333333333,0.174270100783843,0.0304240625618348,0.171593835683117,0.00617592918393325
"51",0,0,0,0,0
"52",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"53",0,0,0,0,0
"54",0,0,0,0,0
"55",0,0,0,0,0
"56",0,0,0,0,0
"57",0,0,0,0,0
"58",0,0,0,0,0
"59",0,0,0,0,0
"60",0,0,0,0,0
"61",0,0,0,0,0
"62",0,0,0,0,0
"63",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"64",0,0,0,0,0
"65",0,0,0,0,0
"66",0.00866666666666667,0.0927141756547883,0.0147695832564484,0.0915302014516399,0.00315404454257837
"67",0,0,0,0,0
"68",0.0873333333333333,0.284937038038684,0.27229519129396,0.0839311887467611,0.0385692846748884
"69",0,0,0,0,0
"70",0,0,0,0,0
"71",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"72",0.189333333333333,0.392260730542357,0.138249503326659,0.367090663944965,0.0217277596737077
"73",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"74",0.006,0.0772544753930409,0.0145841836486796,0.0758653778449403,0.00284446924592362
"75",0,0,0,0,0
"76",0.189333333333333,0.392260730542357,0.138249503326659,0.367090663944965,0.0217277596737077
"77",0.000666666666666667,0.0258198889747161,0.00471404520791032,0.0253859103528797,0.000934919287465006
"78",0,0,0,0,0
"79",0,0,0,0,0
"80",0,0,0,0,0
"81",0,0,0,0,0
"82",0,0,0,0,0
"83",0,0,0,0,0
"84",0.00866666666666667,0.0927141756547883,0.0147695832564484,0.0915302014516399,0.00315404454257837
"85",0,0,0,0,0
"86",0,0,0,0,0
"87",0,0,0,0,0
"88",0,0,0,0,0
